epoch,iso,id_hex,extended,dlc,b0,b1,b2,b3,b4,b5,b6,b7
1756483007.912500,2025-08-29T16:56:47,00000038,0,7,140,0,0,248,255,0,0,
1756483007.912683,2025-08-29T16:56:47,0000020A,1,4,0,0,1,243,,,,
1756483007.912893,2025-08-29T16:56:47,00000214,1,4,0,0,1,243,,,,
1756483007.914309,2025-08-29T16:56:47,000003B4,0,2,0,0,,,,,,
1756483007.914553,2025-08-29T16:56:47,00000157,0,8,160,15,0,3,1,18,0,0
1756483007.914785,2025-08-29T16:56:47,00000158,0,8,0,0,0,0,0,0,0,0
1756483007.915330,2025-08-29T16:56:47,00000030,0,4,0,0,192,76,,,,
1756483007.918330,2025-08-29T16:56:47,0000000A,1,8,0,0,255,253,0,0,1,245
1756483007.918584,2025-08-29T16:56:47,00000E0A,1,8,255,255,255,38,255,255,254,157
1756483007.918875,2025-08-29T16:56:47,0000100A,1,8,1,10,0,244,0,0,0,0
1756483007.922386,2025-08-29T16:56:47,00000014,1,8,0,0,0,3,0,0,1,239
1756483007.922663,2025-08-29T16:56:47,00000E14,1,8,255,255,254,81,0,0,0,16
1756483007.922941,2025-08-29T16:56:47,00001014,1,8,1,5,0,226,0,0,0,0
1756483007.923178,2025-08-29T16:56:47,00000038,0,7,140,0,0,248,255,0,0,
1756483007.923454,2025-08-29T16:56:47,0000020A,1,4,0,0,1,243,,,,
1756483007.923609,2025-08-29T16:56:47,00000214,1,4,0,0,1,243,,,,
1756483007.925341,2025-08-29T16:56:47,00000030,0,4,0,0,192,77,,,,
1756483007.932459,2025-08-29T16:56:47,00000038,0,7,140,0,0,248,255,0,0,
1756483007.932663,2025-08-29T16:56:47,0000020A,1,4,0,0,1,243,,,,
1756483007.932883,2025-08-29T16:56:47,00000214,1,4,0,0,1,243,,,,
1756483007.934305,2025-08-29T16:56:47,000003B4,0,2,0,0,,,,,,
1756483007.934539,2025-08-29T16:56:47,00000157,0,8,160,15,0,3,1,18,0,0
1756483007.934806,2025-08-29T16:56:47,00000158,0,8,0,0,0,0,0,0,0,0
1756483007.935350,2025-08-29T16:56:47,00000030,0,4,0,0,192,78,,,,
1756483007.938280,2025-08-29T16:56:47,0000000A,1,8,0,0,255,251,0,0,1,245
1756483007.938566,2025-08-29T16:56:47,00000E0A,1,8,255,255,255,44,255,255,254,144
1756483007.938855,2025-08-29T16:56:47,0000100A,1,8,1,10,0,244,0,0,0,0
1756483007.940010,2025-08-29T16:56:47,00000500,0,8,240,100,0,20,0,0,255,255
1756483007.942356,2025-08-29T16:56:47,00000014,1,8,0,0,0,3,0,0,1,239
1756483007.942656,2025-08-29T16:56:47,00000E14,1,8,255,255,254,105,0,0,0,4
1756483007.942958,2025-08-29T16:56:47,00001014,1,8,1,5,0,226,0,0,0,0
1756483007.943171,2025-08-29T16:56:47,00000038,0,7,140,0,0,248,255,0,0,
1756483007.943460,2025-08-29T16:56:47,0000020A,1,4,0,0,1,243,,,,
1756483007.943624,2025-08-29T16:56:47,00000214,1,4,0,0,1,243,,,,
1756483007.944314,2025-08-29T16:56:47,00000780,0,2,66,213,,,,,,
1756483007.945359,2025-08-29T16:56:47,00000030,0,4,0,0,192,79,,,,
1756483007.952486,2025-08-29T16:56:47,00000038,0,7,140,0,0,248,255,0,0,
1756483007.952668,2025-08-29T16:56:47,0000020A,1,4,0,0,1,243,,,,
1756483007.952888,2025-08-29T16:56:47,00000214,1,4,0,0,1,243,,,,
1756483007.953183,2025-08-29T16:56:47,0000170A,1,8,255,255,232,145,0,0,185,139
1756483007.953460,2025-08-29T16:56:47,00001714,1,8,255,255,232,145,0,0,185,139
1756483007.953708,2025-08-29T16:56:47,000000D2,0,8,0,0,0,0,10,0,0,0
1756483007.953963,2025-08-29T16:56:47,000005FF,0,8,100,100,0,0,0,0,17,100
1756483007.954212,2025-08-29T16:56:47,00000620,0,8,0,0,0,0,232,46,0,0
1756483007.954460,2025-08-29T16:56:47,00000618,0,8,0,0,10,0,0,0,0,0
1756483007.954712,2025-08-29T16:56:47,00000600,0,8,0,0,0,0,0,0,0,0
1756483007.954838,2025-08-29T16:56:47,000003B4,0,2,0,0,,,,,,
1756483007.955087,2025-08-29T16:56:47,00000157,0,8,160,15,0,3,1,18,0,0
1756483007.955336,2025-08-29T16:56:47,00000158,0,8,0,0,0,0,0,0,0,0
1756483007.955500,2025-08-29T16:56:47,00000030,0,4,0,0,192,80,,,,
1756483007.958285,2025-08-29T16:56:47,0000000A,1,8,0,0,0,5,0,0,1,245
1756483007.958570,2025-08-29T16:56:47,00000E0A,1,8,255,255,255,45,255,255,254,142
1756483007.958868,2025-08-29T16:56:47,0000100A,1,8,1,10,0,243,0,0,0,0
1756483007.962370,2025-08-29T16:56:47,00000014,1,8,0,0,255,252,0,0,1,239
1756483007.962657,2025-08-29T16:56:47,00000E14,1,8,255,255,254,85,0,0,0,4
1756483007.962940,2025-08-29T16:56:47,00001014,1,8,1,5,0,227,0,0,0,0
1756483007.963173,2025-08-29T16:56:47,00000038,0,7,140,0,0,248,255,0,0,
1756483007.963464,2025-08-29T16:56:47,0000020A,1,4,0,0,1,243,,,,
1756483007.963619,2025-08-29T16:56:47,00000214,1,4,0,0,1,243,,,,
1756483007.965341,2025-08-29T16:56:47,00000030,0,4,0,0,192,81,,,,
1756483007.972498,2025-08-29T16:56:47,00000038,0,7,140,0,0,248,255,0,0,
1756483007.972664,2025-08-29T16:56:47,0000020A,1,4,0,0,1,243,,,,
1756483007.972883,2025-08-29T16:56:47,00000214,1,4,0,0,1,243,,,,
1756483007.974316,2025-08-29T16:56:47,000003B4,0,2,0,0,,,,,,
1756483007.974544,2025-08-29T16:56:47,00000157,0,8,160,15,0,3,1,18,0,0
1756483007.974794,2025-08-29T16:56:47,00000158,0,8,0,0,0,0,0,0,0,0
1756483007.975342,2025-08-29T16:56:47,00000030,0,4,0,0,192,82,,,,
1756483007.978289,2025-08-29T16:56:47,0000000A,1,8,0,0,255,253,0,0,1,245
1756483007.978590,2025-08-29T16:56:47,00000E0A,1,8,255,255,255,49,255,255,254,190
1756483007.978858,2025-08-29T16:56:47,0000100A,1,8,1,10,0,243,0,0,0,0
1756483007.979151,2025-08-29T16:56:47,00003A0A,1,8,5,191,12,166,5,191,0,0
1756483007.982362,2025-08-29T16:56:47,00000014,1,8,0,0,255,253,0,0,1,239
1756483007.982652,2025-08-29T16:56:47,00000E14,1,8,255,255,254,95,0,0,0,6
1756483007.982968,2025-08-29T16:56:47,00001014,1,8,1,5,0,227,0,0,0,0
1756483007.983178,2025-08-29T16:56:47,00000038,0,7,140,0,0,248,255,0,0,
1756483007.983468,2025-08-29T16:56:47,0000020A,1,4,0,0,1,243,,,,
1756483007.983623,2025-08-29T16:56:47,00000214,1,4,0,0,1,243,,,,
1756483007.985369,2025-08-29T16:56:47,00000030,0,4,0,0,192,83,,,,
1756483007.990053,2025-08-29T16:56:47,00000500,0,8,240,100,0,20,0,0,255,255
1756483007.992495,2025-08-29T16:56:47,00000038,0,7,140,0,0,248,255,0,0,
1756483007.992676,2025-08-29T16:56:47,0000020A,1,4,0,0,1,243,,,,
1756483007.992895,2025-08-29T16:56:47,00000214,1,4,0,0,1,243,,,,
1756483007.994375,2025-08-29T16:56:47,00000780,0,2,67,213,,,,,,
1756483007.994525,2025-08-29T16:56:47,00000167,0,3,127,48,0,,,,,
1756483007.994654,2025-08-29T16:56:47,000003B4,0,2,0,0,,,,,,
1756483007.994876,2025-08-29T16:56:47,00000040,0,6,10,0,2,3,0,0,,
1756483007.994989,2025-08-29T16:56:47,000003B6,0,1,0,,,,,,,
1756483007.995124,2025-08-29T16:56:47,000003B5,0,2,0,0,,,,,,
