session,timestamp,ah_used,soc,voltage,voltage_std,duration_s,samples
2025-07-29_11-50-26,2025-07-29T10:01:02.374058,0.0079,99.988,53.74,0.00339,594.7,559
2025-07-29_11-50-26,2025-07-29T11:50:43.421715,13.0501,79.609,51.61,0.00887,736.6,692
2025-07-29_11-50-26,2025-07-29T12:10:52.194889,13.7731,78.48,51.46,0.00184,633.1,595
2025-07-29_11-50-26,2025-07-29T13:02:22.568588,18.1561,71.631,50.56,0.0,1462.4,1372
2025-07-29_11-50-26,2025-07-29T14:06:18.477284,28.3961,55.631,48.62,0.0,725.9,682
2025-07-29_11-50-26,2025-07-29T15:58:25.933112,29.8441,53.369,48.32,0.01836,603.5,567
2025-07-29_11-50-26,2025-07-29T18:48:31.395689,39.9761,37.537,46.61,0.01191,4923.9,4620
2025-07-30_09-36-04,2025-07-30T10:25:02.351359,32.536,49.162,47.72,0.00223,726.5,681
2025-07-30_09-36-04,2025-07-30T10:46:11.285468,34.401,46.248,47.41,0.0,1035.2,972
2025-07-30_09-36-04,2025-07-30T11:02:12.587698,33.345,47.898,47.53,0.02669,600.6,370
2025-07-30_09-36-04,2025-07-30T12:22:13.056027,34.892,45.481,47.28,0.00738,2855.1,2679
2025-07-30_09-36-04,2025-07-30T13:32:52.532424,57.129,10.736,43.82,0.00131,543.2,490
2025-07-30_09-36-04,2025-07-30T14:22:50.045132,57.312,10.45,43.82,0.00131,2940.0,2759
2025-07-31_08-09-36,2025-07-31T07:24:07.490888,6.0063,90.615,52.51,0.03618,2832.3,2659
2025-07-31_08-09-36,2025-07-31T07:51:39.656700,6.8055,89.366,52.35,0.00131,1087.0,1021
2025-07-31_08-09-36,2025-07-31T11:04:38.904297,19.1373,70.098,50.46,0.00413,3914.3,3673
2025-07-31_08-09-36,2025-07-31T11:29:20.545233,20.2923,68.293,50.26,0.00491,801.7,753
2025-07-31_08-09-36,2025-07-31T11:48:18.851295,20.6173,67.785,50.24,0.00858,805.9,757
2025-07-31_08-09-36,2025-07-31T12:40:29.540403,27.6293,56.829,48.77,0.00223,1442.3,1354
